clr,stress-temperature,iqr,4,7:43:45
aracne,stress-temperature,iqr,4,1 day and 4:27:21
fastggm,stress-temperature,iqr,2,3 days and 0:00:46
mrnet,stress-temperature,iqr,2,5:24:11
tinge,stress-temperature,mixv1,6,0:13:28
tinge,stress-temperature,iqrv1,8,0:15:46
tinge,stress-temperature,mix-v1,2,0:13:47
tinge,stress-temperature,nofilter,8,0:27:34
wgcna,wholeplant,nofilter,6,0:11:41
wgcna,wholeplant,mixv1,8,0:05:39
wgcna,wholeplant,iqrv1,8,0:07:31
grnboost,wholeplant,mix,2,9:02:50
grnboost,wholeplant,iqr,2,6:44:47
grnboost,wholeplant,nofilter,2,18:19:56
genie3,wholeplant,iqr,2,18:52:40
pcc,wholeplant,mix-v1,2,0:05:30
pcc,wholeplant,nofilter,8,0:11:37
pcc,wholeplant,mixv1,4,0:15:24
pcc,wholeplant,iqrv1,6,0:07:40
clr,wholeplant,iqr,4,5:37:26
aracne,wholeplant,iqr,2,19:55:53
fastggm,wholeplant,iqr,2,3 days and 0:01:33
mrnet,wholeplant,iqr,2,6:29:59
tinge,wholeplant,mix-v1,2,0:08:23
tinge,wholeplant,nofilter,4,0:17:51
tinge,wholeplant,mixv1,2,0:09:28
tinge,wholeplant,iqrv1,4,0:11:21
