TFName 	 TFLocus 	 TargetName 	 TargetLocus 	 IsTF 	 TargetType 	 Confirmation 	 InteractionType
LBD18 	 AT2G45420 	 VND7 	 AT1G71930 	 Yes 	 Direct 	 Confirmed 	 Activation
LBD30 	 AT4G00220 	 VND7 	 AT1G71930 	 Yes 	 Direct 	 Confirmed 	 Activation
LEP 	 AT5G13910 	 COBL4 	 AT5G15630 	 No 	 Direct 	 Confirmed 	 \N
LEP 	 AT5G13910 	 GXM3 	 AT1G09610 	 No 	 Direct 	 Confirmed 	 \N
LFY 	 AT5G61850 	 AAA1 	 AT1G80350 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AAC1 	 AT3G08580 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AAT2 	 AT5G19550 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AB165 	 AT1G29920 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AB180 	 AT1G29910 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ABCG37 	 AT3G53480 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ABF2 	 AT1G45249 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ACO4 	 AT1G05010 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ACR4 	 AT3G59420 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ACS8 	 AT4G37770 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ADF2 	 AT3G46000 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ADH2 	 AT5G43940 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ADL6 	 AT1G10290 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ADT5 	 AT5G22630 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ADT6 	 AT1G08250 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AFB5 	 AT5G49980 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AG 	 AT4G18960 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AG 	 AT4G18960 	 Yes 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AGD3 	 AT5G13300 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGD4 	 AT1G10870 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGD6 	 AT3G53710 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGF2 	 AT3G55560 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGL20 	 AT2G45660 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGL27 	 AT1G77080 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGL3 	 AT2G03710 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGL31 	 AT5G65050 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGL69 	 AT5G65070 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGL70 	 AT5G65060 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGO1 	 AT1G48410 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGP25 	 AT5G18690 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AGR 	 AT5G57090 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AHK3 	 AT1G27320 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AIL6 	 AT5G10510 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AKIN10 	 AT3G01090 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AL5 	 AT5G20510 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ALDH12A1 	 AT5G62530 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AML5 	 AT1G29400 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AMY2 	 AT1G76130 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ANAC008 	 AT1G25580 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ANAC019 	 AT1G52890 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ANAC050 	 AT3G10480 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ANAC059 	 AT3G29035 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ANP1 	 AT1G09000 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ANT 	 AT4G37750 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AP1 	 AT1G69120 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AP1 	 AT1G69120 	 Yes 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AP3 	 AT3G54340 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AP3 	 AT3G54340 	 Yes 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 APM1 	 AT4G33090 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 APM4 	 AT3G04460 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 APO1 	 AT1G64810 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 APP1 	 AT4G36760 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 APS4 	 AT5G43780 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARA1 	 AT4G16130 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARAC3 	 AT4G35020 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARF10 	 AT2G28350 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARK2 	 AT1G65800 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARO1 	 AT4G34940 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARR16 	 AT2G40670 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARR18 	 AT5G58080 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARR18 	 AT5G58080 	 Yes 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 ARR3 	 AT1G59940 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 ARR3 	 AT1G59940 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AST68 	 AT5G10180 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT PRP39-2 	 AT5G46400 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT-NLM1 	 AT4G19030 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01170 	 AT1G01170 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01180 	 AT1G01180 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01183 	 AT1G01183 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01490 	 AT1G01490 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01500 	 AT1G01500 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01620 	 AT1G01620 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01630 	 AT1G01630 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01670 	 AT1G01670 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01680 	 AT1G01680 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G01710 	 AT1G01710 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G02180 	 AT1G02180 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G02190 	 AT1G02190 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G02228 	 AT1G02228 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G02230 	 AT1G02230 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G02350 	 AT1G02350 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G02360 	 AT1G02360 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G02630 	 AT1G02630 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G02640 	 AT1G02640 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G03200 	 AT1G03200 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G03240 	 AT1G03240 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G03250 	 AT1G03250 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G03280 	 AT1G03280 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G03290 	 AT1G03290 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G03850 	 AT1G03850 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G03850 	 AT1G03850 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G04150 	 AT1G04150 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G04250 	 AT1G04250 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05020 	 AT1G05020 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05430 	 AT1G05430 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05440 	 AT1G05440 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05770 	 AT1G05770 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05770 	 AT1G05770 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G05790 	 AT1G05790 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05800 	 AT1G05800 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05800 	 AT1G05800 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G05970 	 AT1G05970 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05980 	 AT1G05980 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05990 	 AT1G05990 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G05990 	 AT1G05990 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G06148 	 AT1G06148 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G06400 	 AT1G06400 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G06990 	 AT1G06990 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G06990 	 AT1G06990 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G07010 	 AT1G07010 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07200 	 AT1G07200 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07210 	 AT1G07210 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07280 	 AT1G07280 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07380 	 AT1G07380 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07390 	 AT1G07390 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07440 	 AT1G07440 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07450 	 AT1G07450 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07460 	 AT1G07460 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07460 	 AT1G07460 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G07520 	 AT1G07520 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07540 	 AT1G07540 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07540 	 AT1G07540 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G07550 	 AT1G07550 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07570 	 AT1G07570 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07580 	 AT1G07580 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07620 	 AT1G07620 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07630 	 AT1G07630 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07650 	 AT1G07650 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07900 	 AT1G07900 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G07901 	 AT1G07901 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G08240 	 AT1G08240 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G08390 	 AT1G08390 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G08660 	 AT1G08660 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G08920 	 AT1G08920 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G08985 	 AT1G08985 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09130 	 AT1G09130 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09140 	 AT1G09140 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09150 	 AT1G09150 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09157 	 AT1G09157 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09350 	 AT1G09350 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09650 	 AT1G09650 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09660 	 AT1G09660 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09950 	 AT1G09950 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09950 	 AT1G09950 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G09960 	 AT1G09960 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09980 	 AT1G09980 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G09995 	 AT1G09995 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10000 	 AT1G10000 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10090 	 AT1G10090 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10095 	 AT1G10095 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10210 	 AT1G10210 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10280 	 AT1G10280 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10652 	 AT1G10652 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10657 	 AT1G10657 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10747 	 AT1G10747 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10750 	 AT1G10750 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10840 	 AT1G10840 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10850 	 AT1G10850 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G10865 	 AT1G10865 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G11260 	 AT1G11260 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G11310 	 AT1G11310 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G11320 	 AT1G11320 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G11360 	 AT1G11360 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G11362 	 AT1G11362 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G11700 	 AT1G11700 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G11780 	 AT1G11780 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G11785 	 AT1G11785 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G12100 	 AT1G12100 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G12120 	 AT1G12120 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G12190 	 AT1G12190 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G12190 	 AT1G12190 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G12200 	 AT1G12200 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G12423 	 AT1G12423 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G12430 	 AT1G12430 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G12440 	 AT1G12440 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G12450 	 AT1G12450 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G13000 	 AT1G13000 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G13010 	 AT1G13010 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G13360 	 AT1G13360 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G13830 	 AT1G13830 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G13840 	 AT1G13840 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G13920 	 AT1G13920 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G13930 	 AT1G13930 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14315 	 AT1G14315 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14360 	 AT1G14360 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14370 	 AT1G14370 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14520 	 AT1G14520 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14550 	 AT1G14550 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14560 	 AT1G14560 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14570 	 AT1G14570 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14620 	 AT1G14620 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14630 	 AT1G14630 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14740 	 AT1G14740 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14930 	 AT1G14930 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G14930 	 AT1G14930 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G15030 	 AT1G15030 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G15670 	 AT1G15670 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G16070 	 AT1G16070 	 Yes 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G16080 	 AT1G16080 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17110 	 AT1G17110 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17120 	 AT1G17120 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17140 	 AT1G17140 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17145 	 AT1G17145 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17147 	 AT1G17147 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17150 	 AT1G17150 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17150 	 AT1G17150 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G17370 	 AT1G17370 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17380 	 AT1G17380 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17390 	 AT1G17390 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17390 	 AT1G17390 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G17545 	 AT1G17545 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17545 	 AT1G17545 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G17550 	 AT1G17550 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17690 	 AT1G17690 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17744 	 AT1G17744 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17745 	 AT1G17745 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17745 	 AT1G17745 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G17750 	 AT1G17750 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17880 	 AT1G17880 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17890 	 AT1G17890 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17900 	 AT1G17900 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G17900 	 AT1G17900 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G18210 	 AT1G18210 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G18390 	 AT1G18390 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G18490 	 AT1G18490 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G18500 	 AT1G18500 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G18560 	 AT1G18560 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G18590 	 AT1G18590 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19050 	 AT1G19050 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19060 	 AT1G19060 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19660 	 AT1G19660 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19800 	 AT1G19800 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19830 	 AT1G19830 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19835 	 AT1G19835 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19840 	 AT1G19840 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19870 	 AT1G19870 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G19880 	 AT1G19880 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20290 	 AT1G20290 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20290 	 AT1G20290 	 No 	 Direct 	 Confirmed 	 Repression
LFY 	 AT5G61850 	 AT1G20300 	 AT1G20300 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20430 	 AT1G20430 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20440 	 AT1G20440 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20480 	 AT1G20480 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20490 	 AT1G20490 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20500 	 AT1G20500 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20510 	 AT1G20510 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G20515 	 AT1G20515 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G21000 	 AT1G21000 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G21010 	 AT1G21010 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G21120 	 AT1G21120 	 No 	 Direct 	 Confirmed 	 Activation
LFY 	 AT5G61850 	 AT1G21120 	 AT1G21120 	 No 	 Direct 	 Confirmed 	 Repression
